indice_tiempo,total,colectivo,lancha,subte,tren
2020-01-01,966458,907421,40,72180,1
2020-01-02,3879833,3564004,94,511136,719721
2020-01-03,4213711,3886005,106,536129,779512
2020-01-04,2899714,2728108,129,232491,461000
2020-01-05,1785016,1687791,94,127770,203694
2020-01-06,4160267,3817677,111,543433,772203
2020-01-07,4195485,3855716,61,553337,774509
2020-01-08,4113127,3775151,80,546992,776612
2020-01-09,4114983,3777667,93,551974,771768
2020-01-10,4261741,3930629,122,551782,802904
2020-01-11,2872425,2709650,100,233528,442738
2020-01-12,1770824,1673993,86,128084,212369
2020-01-13,4110363,3776600,103,537425,767740
2020-01-14,3850434,3533051,82,519193,711038
2020-01-15,3845908,3538310,61,517225,662890
2020-01-16,4217823,3873449,91,561236,794638
2020-01-17,4316121,3983349,124,541901,813476
2020-01-18,2924307,2764358,111,197352,477500
2020-01-19,1779502,1692829,101,101496,210334
2020-01-20,3905584,3627245,86,428750,701578
